Sl.No.,,SOUTH - WEST MONSOON,,,,,,,,
,,,,,,,,,,
,,JUNE '23,,,JULY'23,,,AUG '23,,
,District,,,,,,,,,
,,Actual,Normal,% Dev.,Actual,Normal,% Dev.,Actual,Normal,% Dev.
35,Tenkasi,51.7,20.6,151,9.4,33.9,-72.3,61.1,54.5,12.1
36,Thoothukudi,19.8,15.6,26.9,11.3,19.6,-42.3,31.1,35.2,-11.6
37,The Nilgiris,64.7,18.1,257.5,1.4,21,-93.3,66.1,39.1,69.1
38,Kanniyakumari,10.1,15,-32.7,6.3,23.8,-73.5,16.4,38.8,-57.7
State Average,,57.3,13.8,314,1.8,13.1,-86.3,59.1,27,119
,,,,,,,,,,
Sl.No.,,HOT - WEATHER SEASON,,,,,,,,
,,MAR'24,,,APR '24,,,MAY '24,,
,District,,,,,,,,,
,,Actual,Normal,% Dev.,Actual,Normal,% Dev.,,,% Dev.
,,,,,,,,,Normal,
,,,,,,,,Actual,,
1,2,39,40,41,42,43,44,45,46,47
1,Chennai,0,5.2,-100,0,10.1,-100,20.9,33.5,-37.6
2,Kancheepuram,0,6.8,-100,0,17.4,-100,22.3,46.2,-51.7
3,Chengalpattu,0,6.5,-100,0,14.2,-100,31.6,34.5,-8.4
4,Thiruvallur,0.3,7.5,-96,0,16.7,-100,15.8,41.6,-62
5,Cuddalore,0,19.1,-100,0,16.5,-100,80.6,44.4,81.5
6,Villupuram,0,8,-100,0,16.2,-100,71.1,39,82.3
7,Kallakurichi,0,10.4,-100,0,18.9,-100,55.3,52.8,4.7
8,Vellore,0,12,-100,0,26.2,-100,74.2,65.7,12.9
9,Ranipet,0,10,-100,0,19.6,-100,9,51.1,-82.4
10,Tirupathur,0,11.1,-100,0,28.4,-100,128.9,76.8,67.8
11,Tiruvannamalai,0,12.2,-100,0,21.4,-100,87.2,65.4,33.3
12,Salem,0,17.2,-100,0.1,48.5,-99.8,175.7,98.8,77.8
13,Namakkal,0,12.3,-100,0,43.3,-100,160.9,90.4,78
14,Dharmapuri,0,15.9,-100,0,46.5,-100,211.6,107.3,97.2
15,Krishnagiri,0,14.7,-100,0,39.9,-100,135.6,98.2,38.1
16,Coimbatore,0.4,22.7,-98.2,7.6,57.2,-86.7,282.6,81.5,246.7
17,Tiruppur,0,12,-100,0,43.5,-100,148.8,72.7,104.7
18,Erode,0,18.9,-100,4.5,47.9,-90.6,172.4,79.7,116.3
19,Tiruchirapalli,0,11.5,-100,3,28.3,-89.4,136,65.2,108.6
20,Karur,0,13.2,-100,0,32.3,-100,139,65.6,111.9
21,Perambalur,0,9.5,-100,0,24.5,-100,81.2,55.9,45.3
22,Ariyalur,0,13.3,-100,1.9,17,-88.8,95.2,54.6,74.4
23,Pudukkottai,3.2,15.3,-79.1,5.3,23.2,-77.2,110.5,49.3,124.1
24,Thanjavur,0.5,17.5,-97.1,9.6,27,-64.4,108.8,53.7,102.6
25,Tiruvarur,1.5,19.5,-92.3,5,30.1,-83.4,144.3,54.3,165.7
26,Nagapattinam,17,26.1,-34.9,0.1,22.9,-99.6,86.5,41.8,106.9
27,Mayiladuthurai,0,24.4,-100,0,16.4,-100,87.4,45.1,93.8
28,Madurai,1.7,22.5,-92.4,15.6,47.5,-67.2,134.5,70.8,90
29,Theni,1.5,35.3,-95.8,21.2,66.8,-68.3,188.3,68.9,173.3
30,Dindigul,0.2,26.1,-99.2,12.5,58.1,-78.5,190.2,87.5,117.4
31,Ramanathapuram,2.2,25.5,-91.4,12.3,42.6,-71.1,99.5,39.3,153.2
32,Virudhunagar,0.2,29.9,-99.3,31.6,51.8,-39,133.2,65.5,103.4
33,Sivagangai,1,22.1,-95.5,7.1,39.3,-81.9,125.2,69.8,79.4
34,Tirunelveli,7.1,40.6,-82.5,68.1,51.8,31.5,148.1,37.8,291.8
35,Tenkasi,2.2,55.4,-96,27.9,70.7,-60.5,125.2,53.5,134
